timestamp,id,rating,course_2,course_3,is_mi_student,is_ml_student,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,blended
2023-05-15 16:19:15,23484c24b8d551a189015750171974cd,734,,63,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,Компьютерные сети,Дискретная оптимизация,Машинное обучение 2,Да,0.807174887892377,
2023-05-15 16:46:00,105209181e880d891f19de83b4b1478d,706,,63,,1,Безопасность компьютерных систем,Моделирование временных рядов,Принятие решений в условиях риска и неопределённости,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,Да,0.152466367713005,
2023-05-15 16:53:27,80a0660d40d5e2f3e3b9bb8a4383db74,662,,63,,1,Statistical Learning Theory,Матричные вычисления,Моделирование временных рядов,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,Да,0.354260089686099,
2023-05-15 16:58:06,64173586abab6f7a172946c8c74bde0d,630,,61,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,Да,0.502242152466368,
2023-05-15 17:33:08,4b019ecb89626c8752a1d962b63c8a4b,669,,65,,,Язык SQL,Высокопроизводительные вычисления,Безопасность компьютерных систем,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,Да,0.318385650224215,
2023-05-15 19:44:33,af20596134e83f3ca61259b325aa9688,519,,62,,,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Машинное обучение 2,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Да,0.973094170403588,
2023-05-15 21:34:32,86d929f6fd741e56e93cee5900298849,761,,61,,,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,Да,0.896860986547088,
2023-05-15 21:55:16,f0f6f3881894172a0f04e79b554b49e6,673,,61,,1,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Принятие решений в условиях риска и неопределённости,Машинное обучение 2,Численные методы,Дополнительные главы прикладной статистики,Да,0.300448430493274,
2023-05-15 22:06:56,d3b992fe1016d7951d335db002d43dec,601,,63,,,Матричные вычисления,Высокопроизводительные вычисления,Безопасность компьютерных систем,Дискретная оптимизация,Численные методы,Компьютерные сети,Да,0.645739910313901,
2023-05-15 22:15:31,a65d50ef4fadfac64508a54e972d8623,626,,64,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Матричные вычисления,Дискретная оптимизация,Численные методы,Анализ данных в бизнесе,Да,0.526905829596413,
2023-05-15 22:30:31,a65d50ef4fadfac64508a54e972d8623,626,,64,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Матричные вычисления,Дискретная оптимизация,Численные методы,Анализ данных в бизнесе,Нет,0.526905829596413,
2023-05-15 22:41:51,cddf159101f9a5a30f9041ceebdb2835,651,,61,,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,Дискретная оптимизация,Компьютерные сети,Системы баз данных,Да,0.408071748878924,
2023-05-15 22:58:10,d82c2df25b8b36cd655077b4a885e1f7,612,,61,,,Теория баз данных,Безопасность компьютерных систем,Язык SQL,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Да,0.596412556053812,
2023-05-15 22:59:40,a0c56e8aa03ea6c1f5e8462914472075,751,,62,,1,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Моделирование временных рядов,Дополнительные главы прикладной статистики,Дискретная оптимизация,Численные методы,Да,0.448430493273543,
2023-05-16 13:02:24,5daee1bd98559bb2c52373e416942225,593,,62,,1,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Моделирование временных рядов,Машинное обучение 2,Промышленное программирование на языке Java,Анализ данных в бизнесе,Нет,0.681614349775785,
2023-05-16 14:40:48,64b63332f8e86fa32969cfe0c167dbea,684,,66,,,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Высокопроизводительные вычисления,Машинное обучение 2,Анализ данных в бизнесе,Промышленное программирование на языке Java,Нет,0.251121076233184,
2023-05-16 14:46:06,b121e4d7d62387cd5199cca464a34a6d,694,,65,,,Теория баз данных,Безопасность компьютерных систем,Язык SQL,Машинное обучение 2,Компьютерные сети,Промышленное программирование на языке Java,Да,0.204035874439462,
2023-05-16 15:01:06,b121e4d7d62387cd5199cca464a34a6d,694,,65,,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,Машинное обучение 2,Компьютерные сети,Промышленное программирование на языке Java,Нет,0.204035874439462,
2023-05-16 17:44:55,7df351e9f3a719f6c29e811e2578fcc6,611,,68,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,Компьютерные сети,Системы баз данных,Машинное обучение 2,Да,0.600896860986547,
2023-05-16 19:23:31,c7f347b466ff14ec85103f61c4d6ff8e,640,,67,,,Язык SQL,Безопасность компьютерных систем,Теория баз данных,Машинное обучение 2,Машинное обучение 2,Промышленное программирование на языке Java,Да,0.457399103139013,
2023-05-16 20:46:40,73282cacef07625adb2f9b4e2d57240e,575,,63,,,Матричные вычисления,Язык SQL,Принятие решений в условиях риска и неопределённости,Дискретная оптимизация,Численные методы,Промышленное программирование на языке Java,Нет,0.762331838565022,
